x,y,z

-0.03918003290891647,-0.00694352388381958,-0.053959235548973083
-0.04325973242521286,0.005456149578094482,-0.05759882926940918
-0.055067624896764755,0.006612241268157959,-0.059349894523620605
-0.06449498236179352,0.003690063953399658,-0.05928488075733185
-0.08812457323074341,0.004462778568267822,-0.09584613144397736
-0.10481847822666168,0.027632415294647217,-0.10141851007938385
-0.09076148271560669,0.019515275955200195,-0.05144470930099487
-0.08814346790313721,0.009131789207458496,-0.041445836424827576
-0.05578090623021126,-0.03412729501724243,-0.02754819393157959
-0.04579240828752518,-0.04439890384674072,-0.031088605523109436
-0.025616198778152466,-0.047065913677215576,-0.047003015875816345
-0.036517586559057236,-0.029559612274169922,-0.08514243364334106
-0.04155132174491882,-0.013156592845916748,-0.07365942001342773
-0.041791416704654694,-0.016247093677520752,-0.06472712755203247
-0.03173113614320755,-0.0010766386985778809,-0.0368947833776474
-0.024766288697719574,0.007670938968658447,-0.013697028160095215
0.00048626214265823364,-0.01947265863418579,0.02204759418964386
0.014090120792388916,-0.014989674091339111,0.03407561779022217
0.01793559640645981,-0.02460300922393799,0.02951933443546295
0.013581298291683197,-0.029056251049041748,0.003165706992149353
0.010079607367515564,-0.023169338703155518,-0.0238339900970459
0.0003548562526702881,-0.006332218647003174,-0.037724316120147705
0.00011406838893890381,0.02504640817642212,-0.022873759269714355
0.009435795247554779,0.015118956565856934,-0.004587158560752869
0.01292649656534195,-0.018045902252197266,0.04094065725803375
0.0046330466866493225,-0.016877949237823486,0.045980051159858704
-0.016232170164585114,-0.0059051513671875,0.015579059720039368
-0.02042892575263977,0.01505059003829956,-0.024202823638916016
-0.008420802652835846,0.005355656147003174,-0.032655343413352966
0.01428522914648056,-0.012667238712310791,-0.04173336923122406
0.03394618630409241,0.0055234432220458984,-0.043426513671875
0.04952049255371094,0.014111638069152832,-0.053516685962677
0.04399063438177109,0.011538267135620117,-0.003167852759361267
0.034233927726745605,-0.007306218147277832,0.020394325256347656
0.011953264474868774,-0.015615642070770264,-0.00749814510345459
